pl_name,pl_rade,pl_orbper,pl_eqt
GJ 341 b,0.867887,7.5768334,629.0
GJ 3470 b,3.88,3.3366487,604.0
GJ 3470 b,4.57,3.3366496,593.5
GJ 3470 b,4.13050781,3.33665106329,595.19
GJ 3470 b,4.2,3.33714,615.0
GJ 3470 b,3.88,3.336649,615.0
GJ 3473 b,1.264,1.1980035,773.0
GJ 3473 b,1.21073388,1.19799956042,704.63
GJ 357 b,1.2,3.9306,518.0
GJ 357 b,1.26995,3.9306027,561.0
GJ 357 b,1.217,3.93072,525.0
GJ 367 b,0.718,0.321962,1745.0
GJ 367 b,2.66076,0.3219233,1296.0
GJ 367 b,0.699,0.3219225,1365.0
GJ 3929 b,1.09728674,2.61627687236,533.23
GJ 3929 b,1.15,2.6162745,568.8
GJ 3929 b,1.09,2.616235,568.0
GJ 414 A b,2.63,50.8,308.6
GJ 414 A c,8.4,749.83,124.7
GJ 436 b,4.2224,2.64385,649.0
GJ 436 b,4.1910451,2.64389788,686.0
GJ 436 b,4.091285,2.64389524,669.0
GJ 436 b,3.81211403,2.64388561055,594.05
GJ 436 b,4.26,2.6,650.0
GJ 486 b,1.3241394,1.46711903473,639.36
GJ 486 b,1.289,1.46712127,696.3
GJ 486 b,1.343,1.4671205,706.0
GJ 486 b,1.305,1.467119,701.0
GJ 806 b,1.67823,0.9263237,1162.0
GJ 806 b,1.331,0.9263237,940.0
GJ 9827 b,1.577,1.2089819,1175.0
GJ 9827 b,1.44,1.208974,1035.01
GJ 9827 b,1.75,1.208957,1043.5
GJ 9827 b,1.68645,1.2089755,1183.0
GJ 9827 b,1.62,1.2089802,1172.0
GJ 9827 b,1.58,1.208966,1114.0
GJ 9827 c,1.24,3.64823,771.0
GJ 9827 c,1.36,3.64802,721.9
GJ 9827 c,1.13,3.648103,715.94
GJ 9827 c,1.241,3.648096,813.0
GJ 9827 c,1.269,3.648083,811.0
GJ 9827 d,2.022,6.20147,681.0
GJ 9827 d,2.04,6.20142,646.0
GJ 9827 d,2.07,6.201467,680.0
GJ 9827 d,1.89,6.201812,599.68
GJ 9827 d,2.1,6.20141,604.9
GJ 9827 d,1.98,6.20183,675.0
GPX-1 b,16.47720163,1.744579,2300.0
GPX-1 b,15.38981949,1.74428305047,2383.76
Gaia-1 b,12.65581119,3.05226855124,1159.07
Gaia-2 b,14.72447081,3.6915589899,1213.23
Gliese 12 b,0.9,12.76142,315.0
Gliese 12 b,0.958,12.761408,314.6
Gliese 12 b,0.97057627,12.76147058433,299.51
HAT-P-1 b,14.784671,4.46529976,1322.0
HAT-P-1 b,14.79588,4.46,1320.0
HAT-P-1 b,14.784671,4.4652968,1322.0
HAT-P-1 b,14.5331,4.4652986,1118.0
HAT-P-1 b,13.641353,4.4652934,1291.0
HAT-P-1 b,13.921578,4.46543,1306.0
HAT-P-11 b,5.29152,4.8878037,810.0
HAT-P-11 b,4.84,4.887802706,801.0
HAT-P-11 b,4.449973,4.88781501,838.0
HAT-P-11 b,4.84,4.887802706,801.0
HAT-P-11 b,4.73,4.8878162,878.0
HAT-P-11 b,4.901,4.887802443,847.0
HAT-P-11 b,4.68,4.88780026,794.0
HAT-P-11 b,4.82,4.887803076,800.0
HAT-P-11 b,4.84,4.887802706,801.0
HAT-P-12 b,10.76064,3.21,960.0
HAT-P-12 b,10.749,3.2130598,963.0
HAT-P-12 b,10.637341,3.2130579,975.0
HAT-P-12 b,10.301071,3.21305992,955.0
HAT-P-12 b,11.0975,3.2130578,918.0
HAT-P-13 b,16.667783,2.9162382,1740.0
HAT-P-13 b,16.77836104,2.91640044952,1701.0
HAT-P-13 b,14.359,2.91626,1653.0
HAT-P-14 b,13.663771,4.6276691,1624.0
HAT-P-14 b,13.4508,4.627649,1612.0
HAT-P-14 b,12.89,4.627669,1570.0
HAT-P-14 b,14.3694,4.627664,1581.0
HAT-P-15 b,12.016,10.863502,904.0
HAT-P-15 b,9.57313647,10.86149106925,762.19
HAT-P-16 b,15.4018,2.7759678,1761.0
HAT-P-16 b,14.448,2.77596,1626.0
HAT-P-16 b,13.33871,2.775970244,1571.0
HAT-P-17 b,11.8729,10.338505,903.0
HAT-P-17 b,11.321,10.338523,792.0
HAT-P-18 b,10.7299795,5.50806821746,768.05
HAT-P-18 b,11.153,5.508023,852.0
HAT-P-18 b,10.614923,5.507978,841.0
HAT-P-19 b,12.689,4.008778,1010.0
HAT-P-19 b,11.5444262,4.00882450354,914.36
HAT-P-19 b,11.29865255,4.00878322,981.2
HAT-P-2 b,12.3,5.6,1700.0
HAT-P-2 b,12.969,5.6334729,1540.0
HAT-P-2 b,13.2583,5.633477,1372.0
HAT-P-2 b,11.242627,5.63332,1398.0
HAT-P-2 b,13.33871,5.6334729,1516.0
HAT-P-20 b,9.75,2.9,950.0
HAT-P-20 b,11.489225,2.875316938,964.0
HAT-P-20 b,11.1331,2.8753183,846.0
HAT-P-20 b,9.718,2.875317,970.0
HAT-P-21 b,11.478,4.124481,1283.0
HAT-P-21 b,12.4249,4.1244833,1289.0
HAT-P-22 b,12.10572,3.2122312,1463.0
HAT-P-22 b,11.88154,3.21223328,1293.0
HAT-P-22 b,12.106,3.21222,1283.0
HAT-P-22 b,13.0356,3.2122302,1183.0
HAT-P-23 b,15.334,1.212884,2056.0
HAT-P-23 b,14.10495771,1.21291385425,1854.66
HAT-P-23 b,13.72,1.21288287,1951.0
HAT-P-24 b,15.4971874,3.35524440733,1529.96
HAT-P-24 b,13.922,3.35524,1637.0
HAT-P-25 b,12.66750036,3.65281123783,1095.63
HAT-P-25 b,12.722215,3.65281514,1182.0
HAT-P-25 b,13.339,3.652836,1202.0
HAT-P-26 b,6.333,4.234516,1001.0
HAT-P-26 b,7.09629938,4.23421531199,940.71
HAT-P-27 b,10.91473171,3.03908506593,1091.99
HAT-P-28 b,12.35693611,3.25738980165,1237.76
HAT-P-28 b,13.585,3.257215,1384.0
HAT-P-29 b,12.408,5.723186,1260.0
HAT-P-29 b,11.926376,5.72339,1271.0
HAT-P-29 b,11.64707573,5.7238581931,1164.22
